time(s),emg01,emg02,emg03,emg04,emg05,emg06,emg07,emg08
6.724885940551758,541,316,567,288,495,165,133,228
6.741054534912109,560,335,590,307,506,168,139,231
6.762348413467407,561,351,620,340,493,164,146,216
6.784347772598267,565,352,651,341,511,175,143,210
6.800830841064453,559,382,580,341,453,160,116,165
6.822046756744385,548,347,522,287,307,110,101,159
6.844735383987427,523,336,547,306,316,115,98,146
6.8599584102630615,578,340,517,252,308,121,89,148
6.88490891456604,581,338,478,250,253,105,89,157
6.903516054153442,435,218,535,249,340,126,79,133
6.925891399383545,417,220,524,262,371,144,88,142
6.9455273151397705,471,229,482,217,376,142,88,159
6.96748948097229,427,205,511,247,382,137,83,146
6.986053705215454,412,182,536,255,400,145,85,141
7.00503396987915,481,211,493,255,326,130,92,158
7.031132221221924,459,234,531,246,290,109,83,189
7.046763896942139,399,218,533,262,252,103,79,176
7.064997911453247,381,222,540,229,266,100,81,175
7.083452224731445,400,259,527,212,240,79,75,178
7.10592794418335,367,243,515,204,253,82,70,166
7.124629735946655,369,213,511,218,282,82,69,128
7.147411108016968,377,212,501,201,327,98,68,131
7.166073322296143,424,253,488,191,354,103,74,139
7.184801816940308,420,221,524,178,350,102,75,136
7.203585624694824,403,224,508,238,364,96,69,131
7.226041793823242,395,221,479,266,347,97,78,124
7.244513750076294,396,233,492,263,344,78,78,140
7.263837575912476,366,197,447,276,287,64,75,130
7.286021709442139,360,202,505,298,296,71,82,130
7.304713010787964,338,199,495,269,264,79,89,134
7.323873996734619,336,211,485,237,265,84,87,138
7.346371650695801,354,217,528,236,243,94,100,159
7.372973442077637,301,197,522,238,224,94,95,155
7.390033721923828,284,181,448,234,251,104,95,152
7.4059507846832275,299,163,463,215,239,96,88,147
7.425168991088867,331,153,473,205,225,94,84,140
7.44394588470459,306,139,389,231,218,89,76,102
7.466049432754517,334,134,430,232,237,92,72,97
7.48891544342041,345,148,412,209,206,75,65,104
7.504369735717773,393,228,393,216,215,74,84,130
7.526049375534058,376,233,408,233,231,67,85,133
7.545088529586792,366,222,451,226,295,74,80,125
7.563779354095459,361,229,425,220,289,79,88,125
7.5937418937683105,358,221,450,221,286,79,84,116
7.614025115966797,303,153,448,234,306,83,69,107
7.629615545272827,289,150,429,236,328,101,66,108
7.648222208023071,302,162,428,221,259,92,66,110
7.665545701980591,354,176,415,206,255,88,58,120
7.68335747718811,337,182,374,218,262,91,60,119
7.706055402755737,301,169,458,203,256,91,56,95
7.725749969482422,310,179,438,173,220,70,58,88
7.743803262710571,317,180,406,161,215,69,56,98
7.766294002532959,267,165,420,194,222,71,60,92
7.785187482833862,261,155,434,186,208,82,63,88
7.803563356399536,331,162,352,186,208,83,80,116
7.82587742805481,387,144,364,179,198,86,86,136
7.8445446491241455,431,154,385,190,194,84,90,145
7.863712787628174,432,146,394,187,210,84,90,144
7.886069059371948,431,157,353,193,204,71,89,146
7.908556938171387,389,154,351,204,165,65,74,129
7.925812005996704,349,157,363,202,172,66,65,116
7.9463348388671875,278,139,333,218,250,73,58,94
7.968590974807739,258,137,309,211,246,71,60,95
7.984678268432617,293,130,378,199,295,73,69,128
8.006329774856567,378,155,394,177,294,72,70,143
8.028577089309692,372,162,374,186,290,69,74,145
8.043930530548096,362,159,382,167,236,64,73,143
8.06659460067749,356,159,384,154,229,72,70,137
8.088435411453247,350,180,349,151,165,67,60,127
8.104913234710693,338,173,322,163,180,73,69,119
8.125956296920776,358,171,325,165,199,80,68,120
8.148421287536621,365,166,308,166,194,81,65,122
8.167584419250488,407,170,311,167,180,71,68,133
8.185903787612915,466,171,298,206,189,70,76,141
8.208590507507324,435,164,300,211,198,64,68,141
8.227458238601685,418,161,305,237,198,67,68,136
8.246010541915894,414,168,296,230,209,69,67,138
8.26831579208374,379,169,298,225,211,66,61,144
8.288164377212524,277,139,321,210,198,67,53,118
8.305921792984009,244,123,311,212,200,69,50,108
8.328551292419434,262,120,312,183,193,58,48,109
8.347121953964233,279,101,355,189,177,51,53,109
8.365821599960327,260,92,334,202,166,54,54,98
8.388430833816528,287,100,282,213,174,54,49,93
8.40709376335144,286,105,272,196,141,54,51,92
8.426042318344116,268,108,300,186,118,58,47,87
8.448640584945679,281,127,246,200,108,60,43,85
8.467300653457642,299,144,248,184,105,58,43,73
8.485883712768555,288,154,257,159,115,60,52,81
8.508740186691284,266,153,364,180,134,58,52,75
8.531163930892944,261,151,307,181,131,55,53,78
8.547462224960327,333,177,352,160,127,52,55,96
8.568698644638062,346,174,401,176,128,53,56,98
8.587116241455078,342,157,400,171,122,57,48,95
8.60601544380188,359,155,313,163,108,61,49,113
8.629082918167114,402,171,325,162,137,69,57,120
8.647302150726318,329,138,363,172,144,71,54,106
8.666019201278687,318,133,318,199,137,70,55,116
8.696988344192505,318,134,393,209,131,61,55,114
8.711700677871704,316,136,411,195,186,72,54,107
8.727943181991577,244,107,408,200,177,64,50,103
8.748740434646606,240,101,338,195,173,64,47,103
8.767382144927979,333,141,380,153,178,66,55,110
8.786627054214478,326,142,293,146,175,67,56,111
8.808302640914917,334,136,275,164,128,54,60,128
8.83100414276123,339,137,279,168,208,65,57,133
8.846238613128662,344,136,329,176,215,61,61,159
8.868470907211304,274,81,259,182,216,60,55,168
8.891071557998657,282,112,269,174,216,61,67,194
8.90710711479187,271,121,260,213,243,64,65,199
8.928613662719727,315,163,250,235,201,63,117,375
8.95127534866333,322,170,288,301,220,68,126,385
8.973908185958862,283,177,296,305,270,77,125,381
8.988471031188965,269,163,326,304,279,75,120,370
9.010794401168823,248,162,349,267,251,73,120,365
9.026321172714233,167,118,360,244,227,64,73,175
9.048714876174927,147,101,284,133,201,57,52,121
9.071075677871704,139,85,342,110,131,46,50,105
9.085970878601074,136,67,315,109,113,45,47,90
9.10846495628357,132,63,325,111,101,41,41,63
9.131526231765747,143,58,312,107,104,41,34,51
9.148393869400024,106,58,327,104,102,42,31,40
9.168648719787598,107,54,269,105,87,39,29,38
9.191280603408813,102,51,251,90,76,40,28,36
9.205997228622437,99,36,209,85,72,39,26,32
9.228449583053589,63,36,245,68,59,38,24,28
9.255380392074585,56,35,256,68,55,39,24,28
9.27031135559082,47,36,260,62,49,38,25,25
9.288630962371826,39,42,336,64,59,35,24,28
9.310778141021729,36,46,403,74,68,32,28,28
9.326273918151855,31,45,395,85,76,35,29,27
9.348859786987305,34,55,377,85,79,34,29,27
9.371011972427368,42,55,399,90,83,34,29,29
9.387001752853394,44,59,386,96,88,35,29,27
9.416641235351562,53,59,310,88,91,36,29,29
9.43303108215332,57,64,307,84,86,31,29,31
9.448790788650513,58,56,345,83,89,29,31,29
9.468839406967163,56,56,336,77,86,31,31,28
9.490955591201782,57,49,298,70,74,31,30,26
9.509413242340088,49,47,297,74,70,30,30,27
9.53276252746582,45,38,360,74,68,32,32,25
9.550924301147461,42,42,316,90,69,36,30,25
9.566045999526978,37,43,289,93,70,34,30,26
9.588240385055542,43,41,277,94,70,33,29,28
9.61111831665039,43,38,314,89,61,34,26,27
9.628118753433228,41,43,271,85,65,36,24,26
9.648677110671997,41,44,266,117,73,34,23,28
9.671169996261597,41,43,306,115,72,35,23,28
9.687283992767334,28,45,302,114,75,36,23,31
9.708515644073486,29,49,334,114,79,38,24,29
9.73097848892212,30,49,300,118,78,36,25,30
9.746208190917969,29,47,315,67,64,36,28,31
9.768372774124146,30,44,279,73,65,36,27,30
9.791479349136353,31,45,284,76,65,34,30,26
9.813774347305298,28,41,246,74,57,30,28,29
9.829333782196045,29,48,296,73,54,28,26,31
9.851293563842773,27,50,285,100,60,28,25,28
9.873967409133911,26,53,278,104,60,29,25,27
9.893991470336914,28,52,275,110,62,31,23,28
9.911951541900635,30,51,225,109,62,33,23,25
9.93363332748413,31,38,128,105,63,33,26,24
9.950441598892212,32,33,99,86,54,35,28,25
9.971676588058472,32,29,85,77,52,35,29,25
9.993537187576294,32,33,178,70,52,36,30,24
10.010095596313477,33,37,277,77,62,33,31,26
10.035343647003174,32,39,317,75,67,34,29,25
10.053506851196289,33,41,345,70,68,33,28,26
10.068731546401978,35,45,398,75,72,33,27,28
10.090735912322998,35,44,385,66,68,33,27,29
10.113614559173584,34,42,354,64,61,35,27,31
10.128864288330078,35,41,335,67,54,34,26,30
10.150946855545044,35,40,318,65,58,33,25,30
10.173768997192383,35,41,272,59,52,32,23,28
10.188810586929321,34,40,341,59,52,31,25,26
10.210931062698364,32,40,320,55,51,27,25,26
10.233746767044067,29,47,324,54,52,31,25,26
10.248425245285034,30,50,315,63,52,31,27,23
10.27083683013916,27,47,348,63,50,32,27,26
10.293625116348267,29,44,279,63,48,32,23,26
10.311129808425903,29,46,321,68,50,35,27,23
10.331130504608154,30,45,342,68,52,34,28,26
10.353585243225098,30,41,343,61,47,34,26,29
10.368849039077759,32,39,374,66,55,33,29,28
10.390782356262207,30,47,366,67,57,33,30,27
10.414157629013062,31,48,339,66,53,32,25,30
10.428854703903198,31,44,304,64,53,34,25,27
10.451099157333374,33,48,348,59,57,31,25,25
10.473616361618042,33,49,275,55,60,32,23,28
10.48860239982605,34,43,293,58,61,30,22,29
10.511160373687744,35,38,283,51,61,28,23,28
10.53369927406311,38,43,322,58,60,25,21,29
10.550140619277954,35,39,271,70,57,25,22,31
10.571223020553589,35,37,307,70,50,27,23,28
10.59408450126648,34,37,280,68,45,28,24,30
10.60860276222229,35,38,300,68,48,29,25,28
